_prolog = .text:0x00000000; // type:function size:0x3C scope:global
_epilog = .text:0x0000003C; // type:function size:0x4 scope:global
_unresolved = .text:0x00000040; // type:function size:0x4 scope:global
Em3cInit__FP3cEm = .text:0x00000044; // type:function size:0x38 scope:global
em3cDmCk__FP5cEm3c = .text:0x0000007C; // type:function size:0x6D4 scope:global
move__5cEm3c = .text:0x00000750; // type:function size:0x350 scope:global
em3c_R0_Init__FP5cEm3c = .text:0x00000AA0; // type:function size:0x5FC scope:local
em3c_R0_Move__FP5cEm3c = .text:0x0000109C; // type:function size:0x38 scope:local
em3c_R1_StartWait__FP5cEm3c = .text:0x000010D4; // type:function size:0x210 scope:local
em3c_R1_AtkWait__FP5cEm3c = .text:0x000012E4; // type:function size:0x4B8 scope:local
plemSurprised__FP7cPlayer = .text:0x0000179C; // type:function size:0x164 scope:local
plemEscapeAction__FP5cEm3c = .text:0x00001900; // type:function size:0xCC scope:local
plemEscape__FP7cPlayer = .text:0x000019CC; // type:function size:0x3AC scope:local
subemSurprised__Fv = .text:0x00001D78; // type:function size:0x25C scope:local
subemSit__Fv = .text:0x00001FD4; // type:function size:0x198 scope:local
em3c_R1_Wait__FP5cEm3c = .text:0x0000216C; // type:function size:0x124 scope:local
em3c_R1_Walk__FP5cEm3c = .text:0x00002290; // type:function size:0x438 scope:local
em3c_R1_Run__FP5cEm3c = .text:0x000026C8; // type:function size:0x3D8 scope:local
em3c_R1_Turn180__FP5cEm3c = .text:0x00002AA0; // type:function size:0x188 scope:local
em3c_R1_MoveAtk__FP5cEm3c = .text:0x00002C28; // type:function size:0x458 scope:local
em3c_R1_CoreAtk__FP5cEm3c = .text:0x00003080; // type:function size:0x24C scope:local
plemDmMStar__FP7cPlayer = .text:0x000032CC; // type:function size:0xE4 scope:local
em3c_R0_Damage__FP5cEm3c = .text:0x000033B0; // type:function size:0x48 scope:local
em3c_R1_Dm_Normal__FP5cEm3c = .text:0x000033F8; // type:function size:0x20C scope:local
em3c_R1_Dm_Big__FP5cEm3c = .text:0x00003604; // type:function size:0x1B0 scope:local
em3c_R1_Dm_Head__FP5cEm3c = .text:0x000037B4; // type:function size:0x1C4 scope:local
em3c_R0_Die__FP5cEm3c = .text:0x00003978; // type:function size:0x38 scope:local
em3c_R1_Die_Normal__FP5cEm3c = .text:0x000039B0; // type:function size:0x268 scope:local
em3cAtkCk__FP5cEm3cP3Veci = .text:0x00003C18; // type:function size:0x250 scope:global
em3cAtkCk2__FP5cEm3ci = .text:0x00003E68; // type:function size:0x19C scope:global
em3cRouteCk__FP5cEm3c = .text:0x00004004; // type:function size:0x3C4 scope:global
em3cModelInit__FP5cEm3c = .text:0x000043C8; // type:function size:0x1F8 scope:global
em3cPartsBombSet__FP5cEm3ci = .text:0x000045C0; // type:function size:0x198 scope:global
em3cPartsBombHead__FP5cEm3c = .text:0x00004758; // type:function size:0x188 scope:global
em3cPartsBombControl__FP5cEm3c = .text:0x000048E0; // type:function size:0x7C8 scope:global
em3cSetDmVal__FP5cEm3c = .text:0x000050A8; // type:function size:0x74 scope:global
em3cSetParasite__FP5cEm3c = .text:0x0000511C; // type:function size:0x500 scope:global
em3cFootSe__FP5cEm3c = .text:0x0000561C; // type:function size:0x6C scope:global
