site	mechanism	target-does	tag-text
src/st3/r327.cpp:523	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (see above)
include/dbg_tool.h:101	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 -- the cDbgWindow::Init region-split recipe (db_toolbase.h): the original's
include/dbg_tool.h:248	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (sched region split)
include/dbg_tool.h:251	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (asm-emitted zero, reload-placed li)
include/dbg_tool.h:270	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (sched region split)
include/dbg_tool.h:382	local-alloc-qty-order	block-local scratch registers (r0/r9/r11, f0/f13) permuted: local-alloc.c block_alloc qty order	candidate (local-alloc qty order)
include/dbg_tool.h:404	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (sched region split)
include/dbg_tool.h:410	sched-tie	haifa sched1/sched2 tie-break: two independent insns in the other order, region split, slot filler	codeless sched barrier
include/dbg_tool.h:417	gcse-table/numbering	gcse PRE pseudo numbering (hash bucket order) or expression-table size decides a callee-saved register tie	dead test (gcse block boundary)
include/dbg_tool.h:964	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (the last copy's shape)
src/st3/r317.cpp:100	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	13 shape of R224Main: a two-set pseudo has no REG_EQUIV, so its `li`
src/st3/r317.cpp:444	loop-insn-count	loop.c move_movables hoists (or not) an invariant depending on the loop's real insn count / register weight	candidate (sched1 loop-note barrier). The target issues `rot += rotAccel`
src/st3/r317.cpp:449	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12. Ends cse1's extended block: without it the up loop's pPL high is
src/st3/r310.cpp:192	loop-exit-form	peeled FP loop exit test (source form)	#7/#9).
src/st3/r310.cpp:268	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 fallthrough-arm form. A literal 0 here is cse's known-zero `language` register (kept in
src/st3/r310.cpp:313	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	12 (regmove operand pick, r20d)
src/st3/r310.cpp:366	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	12 (regmove operand pick, r20d): `pl` must not die at the
src/st3/r310.cpp:508	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 fallthrough-arm form. A literal 0 here is cse's known-zero `language` register (kept in
src/st3/r310.cpp:553	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	12 (regmove operand pick, r20d)
src/st3/r310.cpp:607	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	12 (regmove operand pick, r20d): `pl` must not die at the
src/st3/r300.cpp:1434	sched1-tie/hoist	intrablock order or a copy hoisted over a test (stock haifa; source-form lever)	#5 (local-alloc qty order) -- y/z of `p` take f13/f0 in the target: z's lifetime is
src/st3/r316.cpp:269	gcse-table/numbering	gcse PRE pseudo numbering (hash bucket order) or expression-table size decides a callee-saved register tie	candidate (gcse table size). Five dead insns (folded by cse2, no code) grow the
src/st3/r329.cpp:99	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	#17 (local-alloc qty order). The three pool constants are block-local
include/db_toolbase.h:117	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 -- the original stores the REG_EQUIV zero as a constant: the zero's
src/em2d/em2d.cpp:1761	prologue-copy-death	fmr/mr parameter copy ranked as if the incoming reg did not die (regmove REG_DEAD)	#8 candidate (sched1 compare/store tie)
src/em2d/em2d.cpp:2751	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (fallthrough-arm form) + #8: the target compares the load temp (f0)
src/em2c/em2c.cpp:547	em2c-asm	em2c asm form	#16 candidate: jump2's "if (c) { x = a; goto l; } x = b" hoist of the arm's `li r0,2` above the `beq` (x = r0 = the switch load below) fires in ours, 
src/em2c/em2c.cpp:2670	em2c-asm	em2c asm form	#15 candidate: the original keeps the same-base `lwz timer8` below the `stw timer` (r0 for both); ours hoists it (a dead do-while keeps the order but 
src/em2b/em2b.cpp:173	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 -- the original never allocates the single-use `w->Dog_wait` load (a REG_EQUIV
src/em2b/em2b.cpp:189	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 -- the original's `ori` result and 900 (REG_EQUIV constants) do not die at
src/em2b/em2b.cpp:206	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (see em2bAtkEndSet)
src/em2b/em2b.cpp:218	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 -- the target issues `mr r3,em` before the two stores although `em` is
src/em2b/em2b.cpp:858	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 -- the 900/0x23/1.0 init constants are reload-materialised in the original
src/em2b/em2b.cpp:969	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13
src/em2b/em2b.cpp:973	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13
src/em2b/em2b.cpp:1186	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (cse re-walk): the variant-1 body's `1`s must not fold to `spd`, only to the variant byte
src/em2b/em2b.cpp:2335	gcse-table/numbering	gcse PRE pseudo numbering (hash bucket order) or expression-table size decides a callee-saved register tie	candidate (gcse cprop): the 2nd/3rd arms pass the `li r30,1` register, the 1st a fresh `li r8,1`
src/em2b/em2b.cpp:4135	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13); ours must keep every constant alive past the
src/em2b/em2b.cpp:4178	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13
src/em2b/em2b.cpp:4179	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13
src/em2b/em2b.cpp:4519	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	13 -- the original issues the 25-store block in pure source order (no store carries a
src/em2b/em2b.cpp:4581	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	13
src/em2b/em2b.cpp:4582	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	13
src/em2b/em2b.cpp:4583	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	13
src/em2b/em2b.cpp:5488	jump2-crossjump	shared tail duplicated or merged differently (RTL at jump2 entry)	#6 mechanism, no tag needed).
src/em18/em18.cpp:374	sched1-tie/hoist	intrablock order or a copy hoisted over a test (stock haifa; source-form lever)	#5. The original has one `fabsf(lp.y) > 700` check after the type if/else and its
src/pl14/pl14.cpp:151	argmove-order	FP arg moves interleaved with trailing int constants at a mixed int/float call (calls.c load_register_parameters)	#1 (FPR argument moves before the int `li`s)
src/pl14/pl14.cpp:1234	loop-insn-count	loop.c move_movables hoists (or not) an invariant depending on the loop's real insn count / register weight	register tie (global-alloc priority): the loop notes count em's refs double, so em
src/em2a/em2a.cpp:181	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (cse related-value): `cam = &em2a_rescue_cam` after the `&em2a_rescue_cam.param.pos/at`
src/em2a/em2a.cpp:647	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12
src/em2a/em2a.cpp:1016	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (single-use constant re-materialised at the store: `li r0,2` next to `stb`)
src/em29/em29.cpp:397	argmove-order	FP arg moves interleaved with trailing int constants at a mixed int/float call (calls.c load_register_parameters)	#1
src/em3b/em3b.cpp:427	argmove-order	FP arg moves interleaved with trailing int constants at a mixed int/float call (calls.c load_register_parameters)	#1
src/em3b/em3b.cpp:431	argmove-order	FP arg moves interleaved with trailing int constants at a mixed int/float call (calls.c load_register_parameters)	#1
src/t_esp/db_port.cpp:152	argmove-order	FP arg moves interleaved with trailing int constants at a mixed int/float call (calls.c load_register_parameters)	#1 (the original moves the cModel* argument before the f32 one: `mr r4; fmr f1`)
src/t_esp/db_port.cpp:179	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 -- the j loop's `&EvtDebug` is a fresh `lis/addi` in the target (a REG_EQUIV lo_sum pseudo that the
src/t_esp/db_port.cpp:450	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (int shape, em27DmCk): the EstSet stack zero is a function-scope constant with
src/t_esp/db_port.cpp:752	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 -- the target issues the five stores fcv, fog, emArray, cinesco, workPushed although `one`'s
